Round,Player 1 Score,Player 2 Score,Player 1 Score - Player 2 Score
0,0,0,0
1,0,0,0
2,0,1,-1
3,0,2,-2
4,0,2,-2
5,0,2,-2
6,0,2,-2
7,0,2,-2
8,0,2,-2
9,1,2,-1
10,1,2,-1
11,1,2,-1
12,1,2,-1
13,1,2,-1
14,1,2,-1
15,1,2,-1
16,1,2,-1
17,1,2,-1
18,1,2,-1
19,1,3,-2
20,1,3,-2
21,1,3,-2
22,1,3,-2
23,1,3,-2
24,1,3,-2
25,1,3,-2
26,1,3,-2
27,1,3,-2
28,1,3,-2
29,1,3,-2
30,1,3,-2
31,1,3,-2
32,1,3,-2
33,2,3,-1
34,2,3,-1
35,2,3,-1
36,2,3,-1
37,2,3,-1
38,2,3,-1
39,2,3,-1
40,2,3,-1
41,2,3,-1
42,2,3,-1
43,2,3,-1
44,3,3,0
45,3,3,0
46,3,3,0
47,3,3,0
48,3,3,0
49,3,3,0
50,3,4,-1
51,3,4,-1
52,3,4,-1
53,3,4,-1
54,3,4,-1
55,3,4,-1
56,3,4,-1
57,3,4,-1
58,3,4,-1
59,3,4,-1
60,3,4,-1
61,3,4,-1
62,3,4,-1
63,3,4,-1
64,3,4,-1
65,3,4,-1
66,3,4,-1
67,3,4,-1
68,3,4,-1
69,3,4,-1
70,3,4,-1
71,3,4,-1
72,3,4,-1
73,3,4,-1
74,3,4,-1
75,3,4,-1
76,3,4,-1
77,3,4,-1
78,3,4,-1
79,3,4,-1
80,3,4,-1
81,3,4,-1
82,3,4,-1
83,3,4,-1
84,3,4,-1
85,3,4,-1
86,3,4,-1
87,3,4,-1
88,3,4,-1
89,3,4,-1
90,3,4,-1
91,3,4,-1
92,4,4,0
93,4,4,0
94,4,4,0
95,4,4,0
96,4,4,0
97,4,4,0
98,4,4,0
99,4,4,0
100,4,4,0
101,4,4,0
102,4,4,0
103,4,4,0
104,4,4,0
105,4,4,0
106,4,5,-1
107,4,5,-1
108,4,5,-1
109,4,5,-1
110,4,5,-1
111,4,5,-1
112,4,5,-1
113,4,5,-1
114,4,5,-1
115,4,5,-1
116,4,5,-1
117,4,5,-1
118,4,5,-1
119,4,5,-1
120,4,5,-1
121,4,5,-1
122,4,5,-1
123,4,5,-1
124,4,5,-1
125,4,5,-1
126,4,5,-1
127,4,5,-1
128,4,5,-1
129,4,5,-1
130,4,5,-1
131,4,5,-1
132,4,5,-1
133,4,5,-1
134,4,5,-1
135,4,5,-1
136,4,5,-1
137,4,5,-1
138,4,5,-1
139,4,5,-1
140,4,5,-1
141,4,5,-1
142,4,5,-1
143,4,5,-1
144,5,5,0
145,5,5,0
146,5,5,0
147,5,5,0
148,5,5,0
149,5,5,0
150,5,5,0
151,5,5,0
152,5,5,0
153,5,5,0
154,5,5,0
155,5,5,0
156,5,5,0
157,5,5,0
158,5,5,0
159,5,5,0
160,5,5,0
161,5,5,0
162,5,5,0
163,5,5,0
164,5,5,0
165,5,5,0
166,5,5,0
167,5,5,0
168,5,5,0
169,6,5,1
